key,description,en,es
resource_generator_max_flavor:iron,[EMPTY],,
resource_generator_max_flavor:iron_ore,[EMPTY],,
resource_generator_max_flavor:land,[EMPTY],,
resource_generator_max_flavor:leather,[EMPTY],,
resource_generator_max_flavor:null,[EMPTY],,
resource_generator_max_flavor:pickaxe,button on hover infobox description (after crafting it),Do not dig too deep. They who dwell below won't be happy.,No excaves muy profundo. Aquellos que moran ahí abajo no estarán satisfechos.
resource_generator_max_flavor:power,[EMPTY],,
resource_generator_max_flavor:rare,[EMPTY],,
resource_generator_max_flavor:shovel,[EMPTY],,
resource_generator_max_flavor:spear,button on hover infobox description (after crafting it),"It is dangerous to go alone, take this.","Es peligroso ir solo, lleva esto."
resource_generator_max_flavor:stone,[EMPTY],,
resource_generator_max_flavor:sword,[EMPTY],,
resource_generator_max_flavor:swordsman,[EMPTY],,
resource_generator_max_flavor:torch,[EMPTY],,
resource_generator_max_flavor:wood,[EMPTY],,
resource_generator_max_flavor:worker,[EMPTY],,
resource_generator_display_name:CREEK,[noun] an in-game resource,Creek,Arroyo
resource_generator_display_name:FOREST,[noun] an in-game resource,Forest,Bosque
resource_generator_display_name:WILD,[noun] an in-game resource,Wild,Zona salvaje
resource_generator_display_name:axe,[noun] an in-game resource,Axe,Hacha
resource_generator_display_name:brick,[noun] an in-game resource,Brick,Ladrillo
resource_generator_display_name:clay,[noun] an in-game resource,Clay,Arcilla
resource_generator_display_name:coal,[noun] an in-game resource,Coal,Carbón
resource_generator_display_name:common,[DEPRECATED],Common,Común
resource_generator_display_name:compass,[noun] an in-game resource,Compass,Brújula
resource_generator_display_name:experience,[noun] an in-game resource,Experience,Experiencia
resource_generator_display_name:fiber,[noun] an in-game resource,Fiber,Cuerda
resource_generator_display_name:firepit,[noun] an in-game resource,Firepit,Fogata
resource_generator_display_name:flint,[noun] an in-game resource,Flint,Sílex
resource_generator_display_name:food,[noun] an in-game resource,Food,Comida
resource_generator_display_name:fur,[noun] an in-game resource,Fur,Piel
resource_generator_display_name:house,[noun] an in-game resource,House,Casa
resource_generator_display_name:iron,[noun] an in-game resource,Iron,Hierro
resource_generator_display_name:iron_ore,[noun] an in-game resource,Iron Ore,Mineral de hierro
resource_generator_display_name:land,[noun] an in-game resource,Land,Territorio
resource_generator_display_name:leather,[noun] an in-game resource,Leather,Cuero
resource_generator_display_name:null,[DEPRECATED],Null,Nada
resource_generator_display_name:pickaxe,[noun] an in-game resource,Pickaxe,Pico
resource_generator_display_name:power,[noun] an in-game resource,Power,Poder
resource_generator_display_name:rare,[DEPRECATED],Rare,Raro
resource_generator_display_name:shovel,[noun] an in-game resource,Shovel,Pala
resource_generator_display_name:spear,[noun] an in-game resource,Spear,Lanza
resource_generator_display_name:stone,[noun] an in-game resource,Stone,Piedra
resource_generator_display_name:sword,[noun] an in-game resource,Sword,Espada
resource_generator_display_name:swordsman,[noun] an in-game resource,Swordsman,Espadachín
resource_generator_display_name:torch,[noun] an in-game resource,Torch,Antorcha
resource_generator_display_name:wood,[noun] an in-game resource,Wood,Madera
resource_generator_display_name:worker,[noun] an in-game resource,Peasant,Aldeano
resource_generator_display_name:soulstone,[noun] an in-game resource,Soulstone,Piedra del alma
resource_generator_display_name:singularity,[noun] an in-game resource,Singularity,Singularidad
resource_generator_display_name:soul,[noun] an in-game resource,Soul,Alma
worker_role_title:clay_digger,work profession / in-game job category,Clay Digger,Arcillero
worker_role_title:coal_miner,work profession / in-game job category,Coal Miner,Minero (carbón)
worker_role_title:experience,work profession / in-game job category,Experience,Experiencia
worker_role_title:explorer,work profession / in-game job category,Explorer,Explorador
worker_role_title:explorerer,[DEPRECATED],Explorerer,Explorador
worker_role_title:hunter,work profession / in-game job category,Hunter,Cazador
worker_role_title:iron_miner,work profession / in-game job category,Iron Miner,Minero (hierro)
worker_role_title:iron_smelter,work profession / in-game job category,Iron Smelter,Fundidor
worker_role_title:lumberjack,work profession / in-game job category,Lumberjack,Leñador
worker_role_title:mason,work profession / in-game job category,Mason,Masón
worker_role_title:recruiter,[DEPRECATED],Recruiter,Reclutador
worker_role_title:sergeant,work profession / in-game job category,Sergeant,Sargento
worker_role_title:smelter,work profession / in-game job category,Clay Baker,Hornero
worker_role_title:stone_miner,work profession / in-game job category,Stone Miner,Picapedrero
worker_role_title:swordsman,work profession / in-game job category,Swordsman,Espadachín
worker_role_title:swordsmith,work profession / in-game job category,Swordsmith,Herrero
worker_role_title:tailor,[DEPRECATED],Tailor,Sastre
worker_role_title:tanner,work profession / in-game job category,Tanner,Curtidor
worker_role_title:torch_man,work profession / in-game job category,Torch Man,Antorchero
worker_role_title:wanderer,[DEPRECATED],Wanderer,Vagabundo
worker_role_title:worker,work profession / in-game job category,Peasant,Aldeano
worker_role_flavor:clay_digger,on hover infobox description,"The muddy lake keeps her secrets, for now.","El lago lodoso guarda sus secretos, por ahora."
worker_role_flavor:coal_miner,on hover infobox description,It takes a keen eye to spot some surface coal ore.,Se necesita de un ojo experto para reconocer el carbón superficial.
worker_role_flavor:experience,[EMPTY],,
worker_role_flavor:explorer,on hover infobox description,"The journey is long, but they know the way.","El viaje es largo, pero ellos conocen el camino."
worker_role_flavor:explorerer,[EMPTY],,
worker_role_flavor:hunter,on hover infobox description,"Will keep the food, but pay you back in fur.","Consumirá alimento, pero te pagará con pieles."
worker_role_flavor:iron_miner,on hover infobox description,Deep down in the caverns are sparkly rocks.,"En lo profundo de las cavernas, hay rocas brillantes."
worker_role_flavor:iron_smelter,on hover infobox description,Just provide materials and a small fur payment.,Solo págales con un poco de materiales y algo de piel.
worker_role_flavor:lumberjack,on hover infobox description,The big trees will not clear themselves.,Los árboles grandes no se talarán solos.
worker_role_flavor:mason,on hover infobox description,Skilled craftsmen.,Artesano hábil.
worker_role_flavor:recruiter,[EMPTY],,
worker_role_flavor:sergeant,on hover infobox description,Say couple fur is fair for my expertise.,Un par de pieles está bien por mi experiencia. 
worker_role_flavor:smelter,on hover infobox description,Sits next to firepit to take out bricks.,Se sienta junto a la fogata para sacar los ladrillos.
worker_role_flavor:stone_miner,on hover infobox description,"One rock, two rocks, here we go.","Una roca, dos rocas, aquí vamos."
worker_role_flavor:swordsman,on hover infobox description,Will fight against The Darkness for you.,Luchará contra La Oscuridad por ti.
worker_role_flavor:swordsmith,on hover infobox description,Yes we use fur as a currency.,"Sí, usamos la piel como moneda."
worker_role_flavor:tailor,[DEPRECATED],"Knits rope out of fiber, one piece at a time.","Teje una soga de la cuerda, una por vez."
worker_role_flavor:tanner,on hover infobox description,Knows how to skin an animal if you pay in fur.,Sabe cómo curtir un animal si le pagas con pieles.
worker_role_flavor:torch_man,on hover infobox description,Will prepare supplies for miners and explorers.,Alistará los implementos para mineros y exploradores.
worker_role_flavor:wanderer,[EMPTY],,
worker_role_flavor:worker,on hover infobox description,Scavenge and gather food wherever they can.,Hurga y recolecta cualquier alimento donde sea posible.
tab_data_titles:world,"names for village (in-game tab), sorted by size","["" Wilderness "", "" Forest Hovel "", "" Forest Camp "", "" Forest Hamlet "", "" Forest Village "", "" Forest Town "", "" Forest City "", "" Forest Capital "", "" Forest Metropolis "", "" Forest Megalopolis "", "" Forest Kingdom "", "" Forest Empire "", "" Forest Imperium ""]","["" Tierra salvaje "", "" Choza del bosque "", "" Campamento del bosque "", "" Caserío en el bosque "", "" Aldea en el bosque "", "" Pueblo en el bosque "", "" Ciudad en el bosque "", "" Capital del bosque "", "" Metrópolis del bosque "", "" Megalópolis del bosque "", "" Reino del bosque "", "" Imperio del bosque "", "" Gran imperio del bosque ""]"
tab_data_titles:manager,in-game tab title,"["" Population ""]","["" Población ""]"
tab_data_titles:enemy,in-game tab title,"["" Darkness ""]","["" Oscuridad ""]"
tab_data_titles:unknown,in-game tab title,"["" Unknown ""]","["" Desconocido ""]"
tab_data_titles:soul,in-game tab title,"["" Substance ""]","["" Sustancia del alma ""]"
tab_data_titles:starway,in-game tab title,"["" ??? "", "" Heart ""]","["" ??? "", "" Corazón ""]"
tab_data_titles:settings,in-game tab title (options shortcut),"["" @ ""]","["" @ ""]"
tab_data_titles:substance,in-game tab title,"["" Substance ""]","["" Sustancia del alma ""]"
event_data_text:automation,diary entry text,"Today, we herald the dawn of a new era... the age of automation!","Hoy, proclamamos el inicio de una nueva era... ¡la era de la automatización!"
event_data_text:cat_gift,diary entry text,"The frail cat wrought havoc in the storage. Somehow, after cleanup, we had a surplus of raw resources... twice as much.","El gato debilucho causó un caos en el almacén. De alguna forma, después de limpiar todo, tenemos algunos recursos extra... el doble."
event_data_text:cat_no_gift,diary entry text,The cat's offer seemed too suspicious. I dread to imagine what might have happened had I accepted.,El ofrecimiento del gato parecía muy sospechoso. Me aterra imaginar qué podría haber pasado si hubiera aceptado.
event_data_text:cat_intro_no,diary entry text,Though this twisted forest is all I know; I dare to call it home? Am I deceiving myself? The cat meows mockingly at my response.,"Aunque este retorcido bosque es todo lo que conozco, ¿me atrevo a llamarlo hogar? ¿Acaso me estoy engañando? El gato maúlla burlonamente con mi respuesta."
event_data_text:cat_intro_yes,diary entry text,I must admit that I am lost. The cat grinned before returning to its monotone face.,Debo admitir que estoy perdido. El gato sonrió antes de volver a su monótono rostro.
event_data_text:cat_scam,diary entry text,Did that creature fool me? I-I'm speechless. Perhaps trust is a fickle resource.,¿Acaso esa criatura me engañó? Estoy... Estoy sin palabras. Quizá la confianza es un recurso variable.
event_data_text:cat_watching,diary entry text,A cat-like thing lurks in the shadows. It brings me great unease to gaze upon it.,Algo como un gato acecha desde las sombras. Lo miro y la incomodidad me invade.
event_data_text:enemy_screen,diary entry text,Suspicious eyes emerge from the darkness. Their stare brings fear to my people.,Unos ojos desconfiados emergen de la oscuridad. Su mirada causa pavor en mi gente.
event_data_text:firepit_worker,diary entry text,"I met a quaint stranger, who found solace in my company. Together, we lit the fire. Its blaze revealed his faceless features, as he offered work for shelter.","Conocí a un forastero singular, quien encontró consuelo en mi compañía. Juntos, encendimos un fuego. Las llamas revelaron su figura sin rostro, mientras que se ofrecía a trabajar a cambio de refugio."
event_data_text:gift_flint_fiber,diary entry text,"Stumbled upon a long extinguished campfire. A remanent of life, which inspires hope. The debris contained: {0} fiber, {1} flint, {2} wood and {3} stone.","Me encontré con una gran hoguera extinta. Un remanente de vida, que inspira esperanza. Los restos contenían: {0} de cuerda, {1} de sílex, {2} de madera y {3} de piedra."
event_data_text:house_1,diary entry text,Lost people emerge from the forest. They will work in exchange for a place to sleep.,Unas personas que estaban perdidas emergen del bosque. Trabajarán a cambio de un lugar donde dormir.
event_data_text:house_100,diary entry text,"Life flourishes even in absolute darkness as the number of people grows. Children laugh and frolic, while the forest listens in.","La vida prospera incluso en la absoluta oscuridad a medida que el número de personas crece. Los niños ríen y juguetean, mientras el bosque escucha."
event_data_text:house_25,diary entry text,This forest hamlet is far superior to our paltry camp.,Este caserío del bosque es mucho mejor que nuestro ridículo campamento.
event_data_text:house_4,diary entry text,"I've left my mark deep within these trees, carving out a civilization. The brisk forest camp is getting more lively by the day.","Dejé mi marca muy profunda en el corazón de estos árboles. Tallaré una civilización. Este campamento en el bosque reboza actividad, es más vivo cada día."
event_data_text:house_capital,diary entry text,I declare this settlement the capital of the forest. Grow beyond this pestilent place and carve our name into this world.,Declaro este asentamiento la capital del bosque. Crecerá más allá de este pestilente lugar y tallaré nuestro nombre en este mundo.
event_data_text:house_city,diary entry text,"My town has expanded faster than I would have imagined, I might need help in managing all this.",Mi pueblo se ha expandido más rápido de lo que imaginé. Quizá necesite ayuda para manejar todo esto.
event_data_text:house_empire,diary entry text,People of the forest have bestowed me the title of their emperor. Things shall only continue to expand henceforth.,La gente del bosque me ha concedido el título de emperador. Las cosas solo continuarán expandiéndose de aquí en adelante.
event_data_text:house_imperium,diary entry text,"Today, I reflect upon the immense responsibility bestowed upon me by tens of billions, as the Emperor of the Forest Imperium.","Hoy, reflexiono sobre la inmensa responsabilidad que me concedieron diez mil millones, como el Emperador del Gran Imperio del Bosque."
event_data_text:house_kingdom,diary entry text,"I declare myself the king of these vast lands. Absolute power corrupts absolutely, they say?","Me declaro el rey de estas vastas tierras. El poder absoluto corrompe a uno por completo, ¿eso dicen?"
event_data_text:house_megalopolis,diary entry text,"Born from the womb of the void itself, a megalopolis has formed. It shall only grow basking in my golden light.","Nacida del vientre del mismísimo vacío, es ahora una megalópolis. Y crecerá siempre contenta bajo mi luz dorada."
event_data_text:house_metropolis,diary entry text,Millions of people... faceless humanoids... stand beside me. A red carpet guiding me into oblivion...,Millones de personas... humanoides sin rostro... están de mi lado. Una alfombra roja me guía al olvido...
event_data_text:house_town,diary entry text,My people pray and bow as I stroll through the streets. This can't be right?,Mi gente se persigna y se agacha mientras paso por las calles. ¿Debería ser así?
event_data_text:land_1,diary entry text,"There is a pleasant forest nearby, it smells like pine.","Hay un bosque cerca, parece agradable y huele a madera de pino."
event_data_text:land_10,diary entry text,There is coal in the rocky mountain area. Fortune has placed it right next to our settlement.,Hay carbón el en área de las montañas rocosas. La fortuna lo ha dispuesto justo al lado de nuestro asentamiento.
event_data_text:land_11,diary entry text,An old mining operation on the other side of the mountain. I can only wonder what poor creature slaved away in those conditions.,Una antigua mina en el otro lado de la montaña. Solo puedo imaginar a la pobre criatura trabajó como esclavo en estas condiciones.
event_data_text:land_spelunk,diary entry text,"The caverns beckon, their depths shrouded in darkness. Each step echoes with the weight of forgotten horrors.","Las cavernas llaman, sus profundidades envueltas en oscuridad. Se oye el eco de cada paso con el peso de horrores olvidados."
event_data_text:land_2,diary entry text,A shallow creek flows through the forest.,Un riachuelo bajo fluye por el bosque.
event_data_text:land_3,diary entry text,"My curiosity compels me to go deeper, and one day it shall lead to my downfall.","Mi curiosidad me invita a seguir avanzando, y un día me guiará hacia mi perdición."
event_data_text:land_4,diary entry text,The oaks and pines are standing tall. Shall I make a clearing here?,Los robles y los pinos se erigen imponentes. ¿Debería talar este lugar?
event_data_text:land_5,diary entry text,A mountain range stretches near the forest. I wonder if I can exploit that.,Una cadena de montañas se levanta cerca del bosque. Quizá pueda obtener algo de ellas.
event_data_text:land_6,diary entry text,There is a deep dark lake stretching along a muddy beach.,Hay un lago vasto y oscuro que se extiende al lado de una playa lodosa.
event_data_text:land_7,diary entry text,Growling sounds emerge from the deep dense parts of the forest. Nightmares weave deep inside my psyche.,Llegan aullidos desde las partes más densas del bosque. Las pesadillas se van hilando en lo profundo de mi psique.
event_data_text:land_8,diary entry text,"Vast lands stretch beyond the forest, but I will need a way to navigate them.","Vastas tierras se extienden más allá del bosque, pero necesitaré una forma de navegarlas."
event_data_text:land_9,diary entry text,"It is exhausting to explore new lands on my own. Sending out some of them instead, sounds like an idea.","Explorar los terrenos nuevos por mi cuenta es agotador. Mejor mandaré a algunos de ellos, suena bien."
event_data_text:land_debug,diary entry text,The Gods have gifted plenty of resources to help you in this showcase.,Los Dioses han concedido una gran cantidad de recursos para ayudarte en esta exhibición.
event_data_text:resource_generated,diary entry text,You generated {0} {1}.,Generaste {0} {1}.
event_data_text:zero,diary entry text,The world is dark and empty...,El mundo es oscuro y vacío...
event_data_text:darkness_1,diary entry text,"Moving deeper into the darkness, I notice my people behind me, faceless figurines... Did they ever bear any humanity?","Avanzando más en la oscuridad, veo personas detrás de mí, como estatuillas sin rostro... ¿Acaso tuvieron algo de humanidad?"
event_data_text:darkness_2,diary entry text,"As I move farther than ever before, my people are always one step behind me. Time and space seem twisted.","Cada día llego más lejos que el anterior, y mi gente siempre está un paso detrás mío. El tiempo y el espacio se sienten distorsionados."
event_data_text:darkness_3,diary entry text,"That wolf wasn't the first, and it won't be the last. Conquering it was exhausting, but I must go on.","El lobo no fue el primero, y no será el último. Conquistarlo fue agotador, pero debo continuar."
event_data_text:darkness_4,diary entry text,"Countless spirits swarm around the fallen abomination, yet none lay a hand on me. Could they be... afraid?","Una infinidad de espíritus se mueven alrededor de la abominación que yace en el suelo, pero ninguno me ofrece una mano. ¿Será que están... temerosos?"
event_data_text:darkness_5,diary entry text,"My head twists and churns, my sight expands and contracts. The dark forest paths lead me in circles. What, or who, is this maze keeping lost in here?","Mi cabeza se tuerce y da vueltas, mi vista se expande y se contrae. Los caminos del bosque oscuro me hacen caminar en círculos. ¿Qué o quién está siempre perdido en este laberinto?"
event_data_text:darkness_6,diary entry text,"The mighty dragon was acting as a guard dog of the castle gates. In the great hall, a colossal beast stretches into the infinite ceiling void.","El dragón poderoso se comportaba como un perro guardián de las puertas del castillo. En el gran salón, una bestia colosal se extiende en el vacío infinito."
event_data_text:darkness_7,diary entry text,"This has been too easy. No. There's something wrong, there must be. You...You are still here, aren't you?","Esto fue demasiado sencillo. No. Hay algo que no cuadra, debe haber. Tú... Tú sigues aquí, ¿cierto?"
event_data_text:darkness_8,diary entry text,"Countless entities gather along as I move towards the throne room. They seem to recognize me. The throne room awaits, my heart pounds.","Una infinidad de seres se acercan a medida que avanzo hacia la sala del trono. Parece que me reconocen. La sala del trono espera, mi corazón late con fuerza."
event_data_text:darkness_9,diary entry text,"The defeated slime smiles: ""You don't remember? Too long, you have been stuck... in this... form.""","La baba derrotada sonríe: ""¿No lo recuerdas? Por mucho tiempo, es que has estado estancado... en esta... forma""."
event_data_text:darkness_10,diary entry text,"I struck down Death itself, witnessing its ethereal form regenerate right before my eyes. It left behind a shimmering... Soulstone? I need... more.","Yo abatí a la mismísima Muerte, y fui testigo de cómo su etérea forma se regeneró justo frente a mis ojos. Dejó una centelleante... ¿piedra del alma? Necesito... más."
event_data_text:execute_1,diary entry text,I feel a power rush flowing through my body as I absorb the dark essence... it sears my flesh.,"Siento un poder intenso fluyendo por mi cuerpo, mientras absorbo la esencia oscura y... se quema mi carne."
event_data_text:execute_2,diary entry text,"I devoured the essence of the messenger. Bitter, chewy and somewhat rotten, it granted me flight nevertheless.","Yo devoré la esencia del mensajero. Amarga, correosa y un poco podrida, aun así me concedió el poder de volar."
event_data_text:execute_3,diary entry text,"That wicked beast's blasted essence granted me great speed. No matter how far I run, I always end up at the same place.","La esencia de esa malvada bestia condenada me otorgó una gran velocidad. No importa cuán lejos corra, siempre terminaré en el mismo lugar."
event_data_text:execute_4,diary entry text,"I absorbed countless spirits into my essence. They wail inside me, their droning echoes drowning out my thoughts.","He absorbido un sinfín de espíritus en mi esencia. Ellos gimen en mi interior, el eco de sus voces ahogan mis pensamientos."
event_data_text:execute_5,diary entry text,The Warden falls. I take what's rightfully mine. Consuming this essence gave me more limbs than fingers.,El Guardabosques es abatido. Tomo lo que es mío por derecho. Consumir esta esencia me dio más extremidades que dedos.
event_data_text:execute_6,diary entry text,"The essence of the dragon may singe the tongue with the flames of an inferno, but for its razing power, it's a worthy sacrifice.","La esencia del dragón quizá chamusque la lengua con llamas como las de un incendio, pero por su poder arrasador, merece el sacrificio."
event_data_text:execute_7,diary entry text,"Knowledge is power. The essence of that colossus has taught this, yet my own name remains a mystery that gnaws away at my sanity.","El conocimiento es poder. La esencia de ese coloso enseña eso, pero mi propio nombre permanece en tanto misterio que corroe mi cordura."
event_data_text:execute_8,diary entry text,As I feed on the essences of darkness... my mind... why does it feel so fragile yet so powerful?,Mientras más esencias de la oscuridad consumo... mi mente... ¿por qué se siente tan frágil y también tan poderosa?
event_data_text:execute_9,diary entry text,The essence of the prince is too lost in the amalgamation. Visions of the noble bloodline cloud my mind.,La esencia del príncipe es irreconocible en el amalgama. Visiones de la estirpe de los nobles nublan mi mente.
event_data_text:absolve_1,diary entry text,"From the rotten rabbit's womb, a saccharine spirit forms. It follows my steps gleefully.","Del vientre podrido del conejo, se forma un dulce espíritu. Sigue mis pasos con júbilo."
event_data_text:absolve_2,diary entry text,"From the carcass of the fallen bird, a new ally rises. They scout the paths ahead.","Del cadáver del ave caído, emerge un nuevo aliado. Patrulla los caminos por delante."
event_data_text:absolve_3,diary entry text,"The wolf lies on the rickety path, rearing its head for scritches. An ally to guide the path forward.","El lobo yace en el maltrecho camino, con la cabeza gacha para recibir una caricia. Un aliado quien quiará el camino de ahora en adelante."
event_data_text:absolve_4,diary entry text,"The spirits wail no longer, as reflections of them form upon patches of water. Children...",Los espíritus ya no gimen. Sus reflejos se ven en los charcos de agua. Niños...
event_data_text:absolve_5,diary entry text,"The absolved spider spirit follows me forward, its shimmering string lacing the path forward.","El espíritu absuelto de la araña me acompaña, su hilo resplandeciente se mezcla con el camino."
event_data_text:absolve_6,diary entry text,"The great dragon repays my mercy in kindness every day. It burns the dark path, its arcane breath enriching the soil. Lush greenery rises amongst the smoke and mist.","El gran dragón retribuye mi piedad con gentileza cada día. Él quema el camino oscuro, su aliento arcano enriquece el suelo.  Ubérrima flora crece tras el humo y la niebla."
event_data_text:absolve_7,diary entry text,I made peace with that towering beast. The newly gentle giant lifts me toward the throne room.,Hice las paces con la bestia imponente. El ahora gentil gigante me eleva hacia la sala del trono.  
event_data_text:absolve_8,diary entry text,The entity... the Acolyte... it wishes to talk? How come it feels so familiar? Why? Why? Why?,Este ser... el Discípulo... ¿quiere hablar? ¿Cómo es que parece tan familiar? ¿Por qué? ¿Por qué? ¿Por qué?
event_data_text:absolve_9,diary entry text,"The prince snickers at my mercy, though it agrees to entertain my folly and follow along.","El príncipe ríe un poco ante mi piedad, pero acepta seguirme el juego y acompañarme."
event_data_text:lore_beacon,diary entry text,"The lit beacon pierces the dark sky. For the first time, I can see the stars... breaking through the abyss and past the canopy.","La almenara encendida perfora el cielo oscuro. Por primera vez, puedo ver las estrellas... abriéndose paso por el abismo y más allá de las copas de los árboles."
event_data_text:heart_reveal,diary entry text,"Starlight illuminates the forbidden parts of the dark forest, revealing the source of the rhythmic pulse.","La luz de las estrellas ilumina las partes prohibidas del bosque oscuro, y revela el origen del pulso rítmico."
event_data_text:first_spirit,diary entry text,"The unshackled spirit merges with the swordsmen, infusing them with dark power.","El espíritu liberado se mezcla con los espadachines, infusionándolos en poder oscuro."
event_data_text:first_essence,diary entry text,"The devoured essence allows me to siphon the lifeforce of my swordsmen, enhancing my own lethal prowess.","La esencia devorada me permite apropiarme de la fuerza vital de mis espadachines, incrementando mi propio coraje letal."
event_data_text:soul_crafted,diary entry text,Is this... the end?,¿Esto es... el final?
npc_event_text:cat_intro,dialogue line (cat npc),I smell you from afar. Are you lost?,Te he olido desde lejos. ¿Estás perdido?
npc_event_text:cat_peek,[EMPTY],,
npc_event_text:cat_talk_A1,dialogue line (cat npc),I thought so. You are different... An unusual outsider.,Lo imaginé. Eres diferente... Un forastero poco común.
npc_event_text:cat_talk_A2,dialogue line (cat npc),It has been a long time since we had something like... your case.,Ha pasado mucho tiempo desde que vimos algo como... tu caso.
npc_event_text:cat_talk_A3,dialogue line (cat npc),We must not waste this. I will help you. Just this once.,No debemos desperdiciar esto. Te ayudaré. Solo esta vez.
npc_event_text:cat_talk_A4,dialogue line (cat npc),"I shall double your raw resources, say when. Do not wait too long...","Duplicaré tus recursos básicos, dime cuándo. No esperes demasiado..."
npc_event_text:cat_talk_A4_1,dialogue line (cat npc),Enjoy... use these wisely. I plan to... keep watch.,De nada... úsalos sabiamente. Planeo... seguir vigilando.
npc_event_text:cat_talk_A4_2,dialogue line (cat npc),Forsooth? Suit yourself. I'll be watching you...,¿En verdad? Haz lo que quieras. Estaré vigilándote.
npc_event_text:cat_talk_B1,dialogue line (cat npc),"Lying? How bold. Were you attempting to trick me, or yourself?","¿Una mentira? Qué atrevimiento. ¿A quién intentabas engañar, a mí o a ti?"
npc_event_text:cat_talk_B2,dialogue line (cat npc),The ForesSst... does not give rise to creatures like you.,El BosSque... no da la vida a criaturas como tú.
npc_event_text:cat_talk_B3,dialogue line (cat npc),Since you are so vain... I shall propose a deal.,Ya que eres tan seguro de ti... Te ofrezco un trato.
npc_event_text:cat_talk_B4,dialogue line (cat npc),Give me all your raw resources in exchange for a... blessing.,Dame todos tus recursos básicos a cambio de... una bendición.
npc_event_text:cat_talk_B4_1,dialogue line (cat npc),Your gift is... a lesson about trust.,Tu regalo es... una lección sobre la confianza.
npc_event_text:cat_talk_B4_1_2,dialogue line (cat npc),"You will thank me later... until then, I will be nearby...","Me lo agradecerás más tarde... hasta eso, estaré no muy lejos."
npc_event_text:cat_talk_B4_2,dialogue line (cat npc),Forsooth? How quaint you are. I will keep my eye on you...,¿En verdad? Qué singular eres. Mantendré mis ojos en ti...
npc_event_text:cat_talk_C0,dialogue line (cat npc),"You struck it down, all on your own... I underestimated you.","Lo abatiste, tú solo... Te subestimé."
npc_event_text:cat_intro_1,dialogue line (cat npc),"Your smell betrays your identity... You couldn't possibly be wholly human, now could you?","Tu olor delata tu identidad... No es posible que seas enteramente humano, ¿o sí?"
npc_event_text:cat_intro_1_1,dialogue line (cat npc),"How curious. You look familiar, yet your scent... Unrecognizable.","Qué curioso. Me resultas familiar, pero tu olor... Irreconocible."
npc_event_text:cat_intro_1_2,dialogue line (cat npc),"I will... keep my distance, for now.","Yo... me alejaré, por ahora."
npc_event_text:cat_intro_0,dialogue line (cat npc),Meow. Meow. *Purr*,Miau. Miau. *Purr*
npc_event_text:cat_soul_crafted,dialogue line (cat npc),I knew you could do it...,Sabía que podías hacerlo...
npc_event_text:cat_soul_crafted_1,dialogue line (cat npc),I will be taking that now.,"Ahora, me la llevaré."
npc_event_options:cat_intro,dialogue response options (cat npc),"[""Yes"", ""No""]","[""Sí"", ""No""]"
npc_event_options:cat_peek,dialogue response options (cat npc),[],[]
npc_event_options:cat_talk_A1,dialogue response options (cat npc),"[""?""]","[""?""],"
npc_event_options:cat_talk_A2,dialogue response options (cat npc),"[""?""]","[""?""],"
npc_event_options:cat_talk_A3,dialogue response options (cat npc),"[""?""]","[""?""],"
npc_event_options:cat_talk_A4,dialogue response options (cat npc),"[""Now"", ""Never""]","[""Ahora"", ""Nunca""]"
npc_event_options:cat_talk_A4_1,dialogue response options (cat npc),"[""Bye""]","[""Adiós""]"
npc_event_options:cat_talk_A4_2,dialogue response options (cat npc),"[""Bye""]","[""Adiós""]"
npc_event_options:cat_talk_B1,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_talk_B2,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_talk_B3,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_talk_B4,dialogue response options (cat npc),"[""Accept"", ""Deny""]","[""Aceptar"", ""Rechazar""]"
npc_event_options:cat_talk_B4_1,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_talk_B4_1_2,dialogue response options (cat npc),"[""Bye""]","[""Adiós""]"
npc_event_options:cat_talk_B4_2,dialogue response options (cat npc),"[""Bye""]","[""Adiós""]"
npc_event_options:cat_talk_C0,dialogue response options (cat npc),"["":)""]","["":)""]"
npc_event_options:cat_intro_1,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_intro_1_1,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_intro_1_2,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_intro_0,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_soul_crafted,dialogue response options (cat npc),"[""?""]","[""?""]"
npc_event_options:cat_soul_crafted_1,dialogue response options (cat npc),"[""No""]","[""No""]"
substance_text:spirit_rabbit_title,infobox title (after spare option),Spirit of a purified child,Espíritu de un infante purificado
substance_text:spirit_bird_title,infobox title (after spare option),Spirit of a swift courier,Espíritu de un mensajero veloz
substance_text:spirit_wolf_title,infobox title (after spare option),Spirit of a valiant defender,Espíritu de un defensor valiente
substance_text:spirit_void_title,infobox title (after spare option),Spirit of misshapen void,Espíritu del vacío deforme
substance_text:spirit_spider_title,infobox title (after spare option),Spirit of a dreamweaving warden,Espíritu de un guardabosques intérprete de sueños
substance_text:spirit_dragon_title,infobox title (after spare option),Spirit of a graceful guardian,Espíritu de un guardián elegante
